key,time,distance,iteration
p,0.8177094459533691,1,8
y,0.04122519493103027,1,8
j,0.5708291530609131,0,8
.,0.8127579689025879,1,8
",",0.8156256675720215,1,8
n,0.8160214424133301,1,8
[,0.8140816688537598,1,8
v,0.6941871643066406,1,8
',0.9424934387207031,1,8
w,0.6054942607879639,1,8
e,0.6138710975646973,1,8
r,0.6070020198822021,1,8
/,0.9258620738983154,1,8
l,0.6690011024475098,0,8
;,0.6144816875457764,0,8
i,0.6447343826293945,1,8
c,0.611081600189209,1,8
q,0.8188340663909912,2,8
o,0.6045072078704834,1,8
],0.7840332984924316,2,8
f,0.5032267570495605,0,8
z,1.1587443351745605,1,8
h,0.6116259098052979,1,8
g,0.13663172721862793,1,8
d,0.679476261138916,0,8
k,0.6093649864196777,0,8
s,0.6115872859954834,0,8
o,0.6089699268341064,1,9
j,0.6129803657531738,0,9
a,0.40425705909729004,0,9
",",0.8191030025482178,1,9
b,0.6067233085632324,2,9
t,1.0232741832733154,1,9
;,1.017160177230835,0,9
g,0.8144645690917969,1,9
d,0.6114258766174316,0,9
e,0.8165876865386963,1,9
f,0.6090719699859619,0,9
i,0.6087217330932617,1,9
],0.614201545715332,2,9
/,0.8153769969940186,1,9
w,0.8165793418884277,1,9
q,0.6103081703186035,2,9
n,0.6329524517059326,1,9
x,2.0226287841796875,1,9
l,0.609769344329834,0,9
u,0.9781687259674072,1,9
.,0.6522245407104492,1,9
m,0.610607385635376,1,9
z,0.5663771629333496,1,9
[,1.064342737197876,1,9
y,0.814162015914917,1,9
c,0.629535436630249,1,9
h,0.5921199321746826,1,9
k,0.8145816326141357,0,9
',0.4093325138092041,1,9
v,0.7344098091125488,1,9
r,0.6908090114593506,1,9
p,1.0202484130859375,1,9
s,0.6095640659332275,0,9
